product_information,asin,category,avg_price,amazon_fees,avg_net_revenue,bsr,units_sold_daily,revenue_daily,revenue_monthly,units_sold_monthly,reviews,star_rating,dimensions,weight,lqs
Roku Express 4K+ | Roku Streaming Device 4K/HDR  Roku Voice Remote  Free & Live TV,B0916TKFF2,Electronics,$29.00,$6.66,$22.34,28,759,"$21,997.66","$659,924.00","22,756",71274,4.7,"3.00"" x 1.60"" x 0.83"" Large standard-size",1.60 ounces,6
Roku Streaming Stick - Portable 4K/HDR/Dolby Vision Streaming Device  Voice Remote  Free & Live TV,B09BKCDXZC,Electronics,$39.00,$6.89,$32.11,34,707,"$27,556.62","$826,683.00","21,197",70868,4.7,"1.60"" x 5.50"" x 5.50"" Large standard-size",0.56 lbs,6
TiVo Stream 4K – Every Streaming App and Live TV on One Screen – 4K UHD  Dolby Vision HDR and Dolby Atmos Sound – Powered by Android TV – Plug-In Smart TV  One size,B089655HQV,Electronics,$24.99,$5.77,$19.22,"1,660",67,"$1,671.58","$50,154.93","2,007",8461,4.2,"2.13"" x 3.62"" x 7.20"" Large standard-size",0.64 lbs,7
Magic Stick TV Antenna for Smart TV Indoor - Max HD Model Antenna for Digital TV Outdoor - Amplified Digital TV Antenna for Local Channels - Signals Up to 80 Miles - HDTV Antenna - 20ft Coaxial Cable,B01L9RE0R6,Electronics,$19.49,$5.33,$14.16,155,305,"$5,950.88","$178,528.40","9,160",2015,4.0,"16.73"" x 5.98"" x 1.50"" Large standard-size",0.72 lbs,7
Life Extension N-Acetyl-L-Cysteine (NAC)  immune  respiratory  liver health  NAC 600 mg  potent antioxidant support  free-radicals  easy to absorb  60 capsules,B008ML8D4O,Health & Household,$12.00,$5.34,$6.66,"1,077",725,"$8,700.12","$261,000.00","21,750",4112,4.6,"2.09"" x 2.09"" x 3.88"" Large standard-size",2.40 ounces,7
NOW Supplements  Prostate Health  Clinical Strength Saw Palmetto  Beta-Sitosterol & Lycopene  180 Softgels,B003P7YWDG,Health & Household,$38.06,$10.23,$27.83,"6,234",148,"$5,643.16","$169,290.88","4,448",4191,4.3,"3.15"" x 3.15"" x 6.25"" Large standard-size",12.96 ounces,7
NOW Supplements  NAC (N-Acetyl Cysteine) 600 mg with Selenium & Molybdenum  250 Veg Capsules,B0013OUQ3S,Health & Household,$18.98,$6.62,$12.36,552,"1,173","$22,258.61","$667,754.36","35,182",10946,4.6,"2.81"" x 2.81"" x 5.13"" Large standard-size",8.47 ounces,6
Broan-NuTone NOW Supplements  NAC (N-Acetyl Cysteine) 600 mg with Selenium & Molybdenum  100 Veg Capsules,B000MGWFWI,Health & Household,$10.10,$5.17,$4.93,625,"1,152","$11,637.02","$349,106.50","34,565",3729,4.6,"2.25"" x 2.25"" x 4.38"" Large standard-size",3.53 ounces,7
NOW Supplements  NAC (N-Acetyl-Cysteine) 1 000 mg  Free Radical Protection*  120 Tablets,B00KT3H13C,Health & Household,$17.48,$6.79,$10.69,"4,635",328,"$5,726.45","$171,793.44","9,828",12406,4.6,"2.70"" x 2.70"" x 4.75"" Large standard-size",7.05 ounces,6
Acetyl L-Carnitine 1 500 mg High Potency Supports Natural Energy Production  Sports Nutrition  Supports Memory/Focus - 100 Veggie Capsules,B07Q6ZVMK4,Health & Household,$17.88,$6.22,$11.66,"1,686",493,"$8,807.51","$264,230.64","14,778",11273,4.5,"4.45"" x 2.28"" x 2.28"" Large standard-size",4.16 ounces,6
NOW Supplements  Psyllium Husk Caps 500 mg  Non-GMO Project Verified  Natural Soluble Fiber  Intestinal Health*  200 Veg Capsules,B005P0XUAM,Health & Household,$10.35,$4.48,$5.87,570,"1,171","$12,118.71","$363,564.45","35,127",11831,4.6,"0.39"" x 0.39"" x 0.39"" Small standard-size",6.00 ounces,7
Nutricost N-Acetyl L-Cysteine (NAC) 600mg  180 Capsules - Non-GMO  Gluten Free,B01CUQFKW4,Health & Household,$19.47,$6.25,$13.22,"3,069",318,"$6,185.23","$185,549.10","9,530",6082,4.6,"3.00"" x 3.00"" x 5.25"" Large standard-size",7.37 ounces,5
Integrative Therapeutics NAC Supplement (N-Acetyl L-Cysteine) – Supports Cellular Antioxidant Pathways* - 60 Capsules,B0036H0BOO,Health & Household,$17.50,$6.17,$11.34,"10,485",88,"$1,537.38","$46,130.00","2,636",1084,4.6,"2.02"" x 2.02"" x 4.02"" Large standard-size",2.40 ounces,6
NAC Supplement N-Acetyl Cysteine 1000mg Vitamin D3 K2 Zinc Quercetin 1000mg Sarracenia Purpurea 1000mg with Elderberry Holy Basil Bee Propolis Bromelain L-Lysine Made in USA - 60 Count,B0BHL5W5ST,Health & Household,$29.95,$8.03,$21.92,"5,646",169,"$5,057.66","$151,726.70","5,066",910,4.6,"3.82"" x 1.91"" x 1.85"" Large standard-size",2.40 ounces,7
NOW Supplements  D-Mannose 500 mg  Non-GMO Project Verified  Healthy Urinary Tract*  120 Veg Capsules,B000JN4CR0,Health & Household,$15.57,$6.06,$9.51,"1,031",728,"$11,331.22","$339,939.81","21,833",17724,4.7,"2.45"" x 2.45"" x 4.55"" Large standard-size",4.23 ounces,6
Pure Encapsulations Adrenal | Supplement to Support Healthy Cortisol Levels  Fatigue  Stress Moderation  and Adrenal Gland Function* | 60 Capsules,B000Z94WAK,Health & Household,$20.40,$6.60,$13.80,"6,276",149,"$3,029.60","$90,882.00","4,455",2049,4.5,"5.20"" x 3.19"" x 2.01"" Large standard-size",0.01 ounces,6
Primed Smelling Salts - Adrenaline | Slim Pocket Capsule with Air Tight No Leak Lid | Football Hockey Weightlifting | Wake Up | Gaming | Ammonia Inhalant | Intermediate Strength,B0BLCZ7F94,Health & Household,$9.95,$4.34,$5.61,"18,240",47,$464.37,"$13,930.00","1,400",400,2.9,"0.81"" x 0.81"" x 4.38"" Large standard-size",0.63 ounces,6
Optimum Nutrition Amino Energy Sparkling Hydration Drink  Electrolytes  Caffeine  Amino Acids  BCAAs  Sugar Free  Grape  12 Fl Oz  12 Pack (Packaging May Vary),B07GBNBMP7,Health & Household,$29.99,$12.73,$17.26,945,815,"$24,455.65","$733,675.36","24,464",2272,4.7,"9.38"" x 7.38"" x 6.50"" Large standard-size",9.39 lbs,6
